Epoch	Time(sec)	Loss_train	Loss_val	pearson	MAE	MSE	RMSE	r2
1	1325.3495125696063	4.345731735229492	7.6565117835998535	-0.19978520274162292	1.6566696	7.656512	2.76704025695324	-0.15244354049278108
2	2658.391553096473	4.0659637451171875	7.144687175750732	-0.15033859014511108	1.6928408	7.144687	2.6729547650027174	-0.07540468885487717
3	3997.402305200696	3.8296003341674805	6.945925712585449	0.00436687795445323	1.7029061	6.9459257	2.6355124193570876	-0.04548746480112964
4	5338.72086443007	3.742325782775879	6.775415897369385	0.15830585360527039	1.7068002	6.775416	2.602962907413278	-0.019822680227495226
5	6682.25314617902	3.8187146186828613	6.839600563049316	0.2385912984609604	1.6656479	6.8396006	2.6152630007418596	-0.029483614496645716
6	8022.815673433244	3.6989340782165527	6.631701469421387	0.31918230652809143	1.6753993	6.6317015	2.5752090147056776	0.001808886062330095
7	9355.404712721705	3.6506574153900146	6.495079517364502	0.322560578584671	1.6731648	6.495079	2.548544494515908	0.022373089505004717
10	13353.181145183742	3.5347962379455566	6.148321151733398	0.3643772304058075	1.626355	6.1483207	2.4795807457907557	0.07456647230311297
11	14680.79663567245	3.544600486755371	5.741624355316162	0.46911507844924927	1.6016248	5.741624	2.3961685830673525	0.1357816482905796
14	18667.828263111413	3.4386301040649414	5.458076000213623	0.49423643946647644	1.5713611	5.458076	2.336252554886484	0.17846082841746969
18	24002.673496045172	3.326791524887085	5.473367214202881	0.5173229575157166	1.5019505	5.4733677	2.3395229622809945	0.17615921197064777
19	25344.66054944694	3.356851816177368	5.225013256072998	0.5202242136001587	1.5330086	5.225013	2.285828685452136	0.21354106315489707
20	26689.083979278803	3.3246939182281494	5.139947891235352	0.5441910028457642	1.4806162	5.139948	2.267145317626409	0.22634480235988375
