Epoch	Time(sec)	Loss_train	Loss_val	pearson	MAE	MSE	RMSE	r2
2	5263.099738131044	5.7395758628845215	6.282530784606934	0.23998397588729858	1.5818653	6.2825313	2.506497807987091	-0.3128336710320514
3	7932.937143848976	5.225804328918457	4.621430397033691	0.2734493017196655	1.4269413	4.6214304	2.149751240733144	0.034279373826753945
4	10564.282192596002	4.6467742919921875	4.437633037567139	0.2957068681716919	1.4536246	4.437633	2.106569020366325	0.07268673801769854
5	13203.587406925042	4.573686122894287	4.376377582550049	0.3188321590423584	1.4481635	4.3763776	2.0919793456317985	0.08548702950322284
6	15790.601848970982	4.529599666595459	4.267932415008545	0.33970868587493896	1.4559612	4.267933	2.0658975995546593	0.10814832845141187
7	18380.805319280014	4.535344123840332	4.151968002319336	0.36610329151153564	1.4580632	4.151968	2.0376378486667686	0.13238093618982316
8	20980.259725608048	4.348478317260742	4.101201057434082	0.3840395212173462	1.4640421	4.101201	2.0251422314084713	0.14298942680190518
9	23560.479214980965	4.2419538497924805	3.9201385974884033	0.429456502199173	1.4668146	3.9201388	1.979934048373072	0.1808253726574658
10	26149.810120644048	4.138141632080078	3.9097750186920166	0.44873523712158203	1.4601866	3.9097748	1.9773150432527027	0.1829909852051863
11	28738.39958195202	4.0022196769714355	3.8332152366638184	0.4634283185005188	1.3981265	3.8332152	1.957859861344478	0.1989893184311664
14	36491.01179391402	3.4947690963745117	3.859983205795288	0.4776589572429657	1.419671	3.859983	1.9646839357455714	0.19339581821773466
21	54653.08542625001	3.5044503211975098	3.6297967433929443	0.5008412003517151	1.3320864	3.6297965	1.9052024839828352	0.2414968635134711
25	65150.59418607806	3.4451820850372314	3.697087049484253	0.5029520392417908	1.3755102	3.6970873	1.922781133645437	0.2274354323074823
